OUTFITTER,OUTFITTING_TYPE,PACKAGE_NAME,CANOE_TYPE,PEOPLE_CAT,DAYS,COST,COST_UNIT,DISCOUNT_CAT
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,3,290,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,4,330,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,5,370,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,6,410,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,7,450,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,8,490,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,9,525,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,8-9,10,560,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,3,300,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,4,350,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,5,400,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,6,450,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,7,495,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,8,535,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,9,575,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,5-7,10,615,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,3,320,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,4,375,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,5,430,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,6,485,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,7,535,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,8,585,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,9,630,person,NA
LaTourell's,Full,Complete ultralight,Alumacraft,2-4,10,675,person,NA
LaTourell's,Full,Deluxe kevlar,Kevlar,8-9,3,335,person,NA
LaTourell's,Full,Deluxe kevlar,Kevlar,8-9,4,390,person,NA
LaTourell's,Full,Deluxe kevlar,Kevlar,8-9,5,445,person,NA
